First_Word_Japanese,First_Word_Chinese,Rain_Word,Second_Word
Aizu,Anhui,Cloudbranch,Arbor
Amagasaki,Anyang,Cloudburst,Archway
Anjo,Bamboo,Clouddrop,Bamboo
Aomori,Baoding,Cloudfall,Bambooline
Asakusa,Baoji,Cloudleaf,Bamboowalk
Atami,Baotou,Cloudline,Bay
Azalea,Beihai,Cloudmirror,Bench
Bamboo,Beijing,Cloudpath,Bloom
Beppu,Bengbu,Cloudport,Bloomgrove
Blossom,Benxi,Clouds,Bloomway
Bonsai,Bonsai,Cloudshade,Blossom
Calligraphy,Bozhou,Cloudsong,Blossomhill
Calm,Brush,Cloudstone,Bluff
Cedar,Calligraphy,Cloudveil,Bower
Cherry,Calm,Cloudwhirl,Brambles
Chiba,Changchun,Cloudy,Breeze
Chichibu,Changde,Damp,Breezehill
Chigasaki,Changsha,Dew,Breezepath
Cypress,Chaozhou,Downpour,Breezeway
Dreamy,Chengdu,Drenched,Bridge
Edo,Chenzhou,Dripping,Bridgeway
Elegant,Chongzuo,Drizzle,Brook
Fern,Confucian,Drizzlebloom,Brookside
Flowing,Dali,Drizzledawn,Brooktrail
Fuji,Daqing,Drizzleflow,Brookview
Fujinomiya,Deyang,Drizzleleaf,Canopy
Fujisawa,Dezhou,Drizzlepath,Cascade
Fukui,Dongguan,Drizzleroot,Cedarshade
Fukuoka,Dragon,Drizzlesong,Cedarwalk
Fukuroi,Dynasty,Droplets,Cherryarch
Fukuyama,Foshan,Droplight,Cherrywalk
Geisha,Fushun,Duskrain,Clearing
Gentle,Fuyang,Fog,Courtyard
Gifu,Fuzhou,Fogarch,Cove
Gion,Ganzi,Fogcloud,Enclave
Hachioji,Gentle,Fogdrift,Fern
Haiku,Guangzhou,Fogfall,Fernarch
Hakodate,Guigang,Foggem,Fernhill
Hakone,Guilin,Foggy,Fernwalk
Hamamatsu,Haikou,Fogheart,Field
Harmonic,Hainan,Foglight,Flowerbed
Hida,Han,Fogpath,Forest
Hikone,Handan,Fogrise,Forestgate
Himeji,Hangzhou,Fogshade,Forestshade
Hiroshima,Harbin,Fogtrail,Fountain
Hitachi,Hechi,Fogveil,Fountainwalk
Hitoyoshi,Hefei,Gloom,Fountpath
Hofu,Hengyang,Gloomdrop,Garden
Hushed,Heyuan,Grey,Gardenarch
Ichikawa,Heze,Greycloud,Gardencrest
Ichinoseki,Hezhou,Greydrop,Gardenledge
Iga,Hohhot,Greyfield,Gardenway
Ikebana,Huaian,Greyrain,Gazebo
Ise,Huanggang,Greyveil,Ginkgopath
Itami,Huangshan,Greywash,Glade
Ito,Huludao,Gust,Glen
Ivy,Hushed,Haildrop,Gravel
Iwakuni,Jade,Haze,Grove
Iwakura,Jiaxing,Hazeveil,Grovefield
Izumi,Jieyang,HushRain,Groveway
Izumo,Jilin,Hushmist,Haven
Kabuki,Jilin City,Mist,Hearth
Kagoshima,Jinan,Mistcrest,Hill
Kamakura,Jinchang,Mistfall,Hillgarden
Kanazawa,Jincheng,Mistflow,Hillgate
Kansai,Jingdezhen,Mistgate,Hillgrove
Kariya,Jingmen,Mistglow,Hillpath
Kashiwazaki,Jingxi,Mistpath,Hilltop
Kasuga,Jingzhou,Mistrail,Hillview
Kasugai,Jiujiang,Mistrain,Hollow
Kawagoe,Jiuzhaigou,Mistripple,Hushedgrove
Kimono,Kaifeng,Mistrise,Island
Kinosaki,Kaiyuan,Mistsky,Knoll
Kisarazu,Kunming,Mistsong,Lakeside
Kitakyushu,Laibin,Miststone,Lantern
Kitami,Laiwu,Misttouch,Lanternarch
Kobe,Lake,Mistveil,Lanternfield
Kochi,Langfang,Misty,Lanternwalk
Koi,Lantern,Mistyveil,Leaf
Kumagaya,Lanzhou,Mizzle,Leafbank
Kumamoto,Leshan,Moist,Leafgarden
Kumano,Lhasa,Monsoon,Leafgrove
Kurashiki,Lianyungang,Moondrip,Leafway
Kurayoshi,Liaoyang,Nimbus,Lily
Kurume,Lijiang,Overcast,Lilyarch
Kuwana,Linyi,Overcastlight,Lilyfield
Kyoto,Longyan,Overdrip,Lilypad
Lantern,Lotus,Overfog,Lookout
Lotus,Lu'an,Overmist,Lotus
Maple,Luohe,Rain,Lotusfield
Matsubara,Luoyang,Rainarch,Lotusgate
Matsue,Luzhou,Rainbank,Lotuspond
Matsumoto,Maanshan,Rainbeam,Lotusway
Matsuyama,Magnolia,Rainbed,Mapletrail
Meditation,Mandarin,Rainbloom,Meadow
Meguro,Maoming,Rainblur,Meadowgate
Minato,Meizhou,Rainbreeze,Moss
Mindful,Mudanjiang,Rainchant,Mossbank
Mito,Nanjing,Raincircle,Mossfield
